Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,0.0,2.0,809,1.0,16,3,3.0,1,1.0,84,4,1,2.0,2,1.0,2426,0,0.0,13,3,3,1,6,5,3,5,4,0,3
29,0.0,2.0,153,1.0,15,2,1.0,4,0.0,49,2,2,2.0,3,2.0,4193,0,1.0,12,3,4,0,10,3,3,9,5,0,8
31,0.0,2.0,670,1.0,26,1,1.0,1,1.0,31,3,1,6.0,3,0.0,2911,1,0.0,17,3,4,1,5,1,2,5,2,4,3
34,0.0,2.0,1346,1.0,19,2,3.0,2,1.0,93,3,1,2.0,4,0.0,2661,0,0.0,11,3,3,1,3,2,3,2,2,1,2
28,1.0,2.0,103,1.0,24,3,1.0,3,1.0,50,2,1,2.0,3,2.0,2028,5,1.0,14,3,2,0,6,4,3,4,2,0,3
29,0.0,2.0,1389,1.0,21,4,1.0,2,0.0,51,4,3,4.0,1,0.0,9980,1,0.0,11,3,3,1,10,1,3,10,9,8,8
32,0.0,2.0,334,1.0,5,2,1.0,1,1.0,80,4,1,6.0,2,0.0,3298,0,1.0,12,3,4,2,7,5,2,6,2,0,5
22,0.0,0.0,1123,1.0,16,2,3.0,4,1.0,96,4,1,2.0,4,0.0,2935,1,1.0,13,3,2,2,1,2,2,1,0,0,0
53,0.0,2.0,1219,2.0,2,4,1.0,1,0.0,78,2,4,3.0,4,1.0,15427,2,0.0,16,3,3,0,31,3,3,25,8,3,7
38,0.0,2.0,371,1.0,2,3,1.0,4,1.0,45,3,1,6.0,4,2.0,3944,5,1.0,11,3,3,0,6,3,3,3,2,1,2
24,0.0,0.0,673,1.0,11,2,4.0,1,0.0,96,4,2,4.0,3,0.0,4011,0,0.0,18,3,4,1,5,5,2,4,2,1,3
36,1.0,2.0,1218,2.0,9,4,1.0,3,1.0,82,2,1,8.0,1,2.0,3407,7,0.0,23,4,2,0,10,4,3,5,3,0,3
34,0.0,2.0,419,1.0,7,4,1.0,1,0.0,53,3,3,5.0,2,2.0,11994,0,0.0,11,3,3,0,13,4,3,12,6,2,11
21,0.0,2.0,391,1.0,15,2,1.0,3,1.0,96,3,1,6.0,4,2.0,1232,1,0.0,14,3,4,0,0,6,3,0,0,0,0
34,1.0,2.0,699,1.0,6,1,3.0,2,1.0,83,3,1,6.0,1,2.0,2960,2,0.0,11,3,3,0,8,2,3,4,2,1,3
53,0.0,2.0,1282,1.0,5,3,4.0,3,0.0,58,3,5,3.0,3,0.0,19094,4,0.0,11,3,4,1,26,3,2,14,13,4,8
32,1.0,1.0,1125,1.0,16,1,1.0,2,0.0,72,1,1,6.0,1,2.0,3919,1,1.0,22,4,2,0,10,5,3,10,2,6,7
42,0.0,2.0,691,2.0,8,4,2.0,3,1.0,48,3,2,7.0,2,1.0,6825,0,0.0,11,3,4,1,10,2,3,9,7,4,2
44,0.0,2.0,477,1.0,7,4,3.0,1,0.0,42,2,3,0.0,4,1.0,10248,3,0.0,14,3,4,1,24,4,3,22,6,5,17
46,0.0,2.0,705,2.0,2,4,2.0,2,0.0,83,3,5,3.0,1,2.0,18947,3,0.0,12,3,4,0,22,2,2,2,2,2,1
33,0.0,2.0,924,1.0,2,3,3.0,3,1.0,78,3,1,2.0,4,2.0,2496,4,0.0,11,3,4,0,7,3,3,1,1,0,0
44,0.0,2.0,1459,1.0,10,4,4.0,4,1.0,41,3,2,0.0,4,1.0,6465,2,1.0,13,3,4,0,9,5,4,4,2,1,3
30,0.0,2.0,125,1.0,9,2,3.0,4,1.0,83,2,1,2.0,3,2.0,2206,1,0.0,13,3,1,0,10,5,3,10,0,1,8
39,1.0,2.0,895,2.0,5,3,5.0,4,1.0,56,3,2,8.0,4,1.0,2086,3,0.0,14,3,3,1,19,6,4,1,0,0,0
24,1.0,2.0,813,1.0,1,3,3.0,2,1.0,61,3,1,6.0,4,1.0,2293,2,1.0,16,3,1,1,6,2,2,2,0,2,0
43,0.0,2.0,1273,1.0,2,2,3.0,4,0.0,72,4,1,6.0,3,0.0,2645,1,0.0,12,3,4,2,6,3,2,5,3,1,4
50,1.0,2.0,869,2.0,3,2,2.0,1,1.0,86,2,1,8.0,3,1.0,2683,1,1.0,14,3,3,0,3,2,3,3,2,0,2
35,0.0,2.0,890,2.0,2,3,2.0,4,0.0,97,3,1,8.0,4,1.0,2014,1,0.0,13,3,1,0,2,3,3,2,2,2,2
36,0.0,2.0,852,1.0,5,4,1.0,2,0.0,82,2,1,6.0,1,1.0,3419,9,1.0,14,3,4,1,6,3,4,1,1,0,0
33,0.0,1.0,1141,2.0,1,3,1.0,3,0.0,42,4,2,7.0,1,1.0,5376,2,0.0,19,3,1,2,10,3,3,5,3,1,3
35,0.0,2.0,464,1.0,4,2,4.0,3,1.0,75,3,1,2.0,4,0.0,1951,1,0.0,12,3,3,1,1,3,3,1,0,0,0
27,0.0,2.0,1240,1.0,2,4,1.0,4,0.0,33,3,1,2.0,1,0.0,2341,1,0.0,13,3,4,1,1,6,3,1,0,0,0
26,1.0,2.0,1357,1.0,25,3,1.0,1,1.0,48,1,1,2.0,3,2.0,2293,1,0.0,12,3,3,0,1,2,2,1,0,0,1
27,0.0,1.0,994,2.0,8,3,1.0,4,1.0,37,3,3,7.0,3,2.0,8726,1,0.0,15,3,4,0,9,0,3,9,8,1,7
30,0.0,1.0,721,1.0,1,2,3.0,3,0.0,58,3,2,2.0,4,2.0,4011,1,0.0,23,4,4,0,12,2,3,12,8,3,7
41,1.0,2.0,1360,1.0,12,3,5.0,2,0.0,49,3,5,5.0,3,1.0,19545,1,0.0,12,3,4,0,23,0,3,22,15,15,8
34,0.0,0.0,1065,2.0,23,4,2.0,2,1.0,72,3,2,7.0,3,2.0,4568,0,0.0,20,4,3,0,10,2,3,9,5,8,7
37,0.0,2.0,408,1.0,19,2,1.0,2,1.0,73,3,1,6.0,2,1.0,3022,4,0.0,21,4,1,0,8,1,3,1,0,0,0
46,0.0,1.0,1211,2.0,5,4,2.0,1,1.0,98,3,2,7.0,4,2.0,5772,4,1.0,21,4,3,0,14,4,3,9,6,0,8
35,0.0,2.0,1229,1.0,8,1,1.0,4,1.0,36,4,1,2.0,4,1.0,2269,1,0.0,19,3,4,0,1,2,3,1,0,0,1
48,1.0,2.0,626,1.0,1,2,1.0,1,1.0,98,2,3,2.0,3,2.0,5381,9,1.0,13,3,4,0,23,2,3,1,0,0,0
28,1.0,2.0,1434,1.0,5,4,5.0,3,1.0,50,3,1,2.0,3,2.0,3441,1,1.0,13,3,3,0,2,3,2,2,2,2,2
44,0.0,2.0,1488,2.0,1,5,2.0,2,0.0,75,3,2,7.0,1,0.0,5454,5,1.0,21,4,3,1,9,2,2,4,3,1,3
35,0.0,0.0,1097,1.0,11,2,3.0,3,1.0,79,2,3,0.0,1,1.0,9884,2,1.0,13,3,3,1,10,3,3,4,0,2,3
26,0.0,2.0,1443,2.0,23,3,2.0,3,0.0,47,2,2,7.0,4,1.0,4157,7,1.0,19,3,3,1,5,2,2,2,2,0,0
33,0.0,1.0,515,1.0,1,2,1.0,1,0.0,98,3,3,5.0,4,2.0,13458,1,1.0,12,3,3,0,15,1,3,15,14,8,12
35,0.0,1.0,853,2.0,18,5,1.0,2,1.0,71,3,3,7.0,1,1.0,9069,1,0.0,22,4,4,1,9,3,2,9,8,1,8
35,0.0,2.0,1142,1.0,23,4,3.0,3,0.0,30,3,1,2.0,1,1.0,4014,3,1.0,15,3,3,1,4,3,3,2,2,2,2
31,0.0,2.0,655,1.0,7,4,1.0,4,1.0,48,3,2,2.0,4,0.0,5915,3,0.0,22,4,4,1,10,3,2,7,7,1,7
37,0.0,2.0,1115,1.0,1,4,1.0,1,1.0,51,2,2,4.0,3,0.0,5993,1,0.0,18,3,3,1,7,2,4,7,5,0,7
32,0.0,2.0,427,1.0,1,3,3.0,1,1.0,33,3,2,4.0,4,1.0,6162,1,1.0,22,4,2,1,9,3,3,9,8,7,8
38,0.0,1.0,653,1.0,29,5,1.0,4,0.0,50,3,2,2.0,4,2.0,2406,1,0.0,11,3,4,0,10,2,3,10,3,9,9
50,0.0,2.0,989,1.0,7,2,3.0,2,0.0,43,2,5,5.0,3,0.0,18740,5,1.0,12,3,4,1,29,2,2,27,3,13,8
59,0.0,2.0,1435,2.0,25,3,1.0,1,0.0,99,3,3,7.0,1,2.0,7637,7,0.0,11,3,4,0,28,3,2,21,16,7,9
36,0.0,2.0,1223,1.0,8,3,5.0,3,0.0,59,3,3,0.0,3,0.0,10096,1,0.0,13,3,2,3,17,2,3,17,14,12,8
55,0.0,2.0,836,1.0,8,3,3.0,4,0.0,33,3,4,3.0,3,0.0,14756,2,1.0,14,3,3,3,21,2,3,5,0,0,2
36,0.0,1.0,1195,1.0,11,3,1.0,2,1.0,95,2,2,4.0,2,2.0,6499,1,0.0,13,3,3,0,6,3,3,6,5,0,3
45,0.0,2.0,1339,1.0,7,3,1.0,2,1.0,59,3,3,6.0,1,0.0,9724,2,0.0,17,3,3,1,25,2,3,1,0,0,0
35,0.0,1.0,664,1.0,1,3,3.0,2,1.0,79,3,1,6.0,1,1.0,2194,4,0.0,13,3,4,1,5,2,2,3,2,1,2
36,1.0,2.0,318,1.0,9,3,3.0,4,1.0,79,2,1,6.0,3,1.0,3388,0,1.0,17,3,1,1,2,0,2,1,0,0,0
59,0.0,1.0,1225,2.0,1,1,1.0,1,0.0,57,2,2,7.0,3,2.0,5473,7,0.0,11,3,4,0,20,2,2,4,3,1,3
29,0.0,2.0,1328,1.0,2,3,1.0,3,1.0,76,3,1,6.0,2,1.0,2703,0,0.0,23,4,4,1,6,3,3,5,4,0,4
31,0.0,2.0,1082,1.0,1,4,3.0,3,1.0,87,3,1,6.0,2,2.0,2501,1,0.0,17,3,2,0,1,4,3,1,1,1,0
32,0.0,2.0,548,1.0,1,3,1.0,2,1.0,66,3,2,6.0,2,1.0,6220,1,0.0,17,3,2,2,10,3,3,10,4,0,9
36,0.0,2.0,132,1.0,6,3,1.0,2,0.0,55,4,1,2.0,4,1.0,3038,3,0.0,12,3,2,0,5,3,3,1,0,0,0
31,0.0,2.0,746,1.0,8,4,1.0,3,0.0,61,3,2,4.0,4,2.0,4424,1,0.0,23,4,4,0,11,2,3,11,7,1,8
35,0.0,2.0,776,2.0,1,4,2.0,3,1.0,32,2,2,7.0,1,2.0,4312,0,0.0,14,3,2,0,16,2,3,15,13,2,8
45,0.0,2.0,193,1.0,6,4,4.0,4,1.0,52,3,3,5.0,1,1.0,13245,4,1.0,14,3,2,0,17,3,4,0,0,0,0
37,0.0,2.0,397,1.0,7,4,3.0,1,1.0,30,3,3,5.0,3,2.0,13664,4,0.0,13,3,1,0,16,3,4,5,2,0,2
46,0.0,2.0,945,0.0,5,2,3.0,2,1.0,80,3,2,1.0,2,0.0,5021,8,1.0,22,4,4,1,16,2,3,4,2,0,2
30,0.0,2.0,852,1.0,1,1,1.0,4,1.0,55,2,2,2.0,4,1.0,5126,1,1.0,12,3,3,2,10,1,2,10,8,3,0
35,0.0,2.0,1214,1.0,1,3,3.0,2,1.0,30,2,1,6.0,3,2.0,2859,1,0.0,18,3,1,0,6,3,3,6,4,0,4
55,0.0,2.0,111,2.0,1,2,1.0,1,1.0,70,3,3,7.0,4,1.0,10239,3,0.0,14,3,4,1,24,4,3,1,0,1,0
38,0.0,0.0,573,1.0,6,3,3.0,2,0.0,79,1,2,6.0,4,0.0,5329,7,1.0,12,3,4,3,17,3,3,13,11,1,9
34,0.0,2.0,1153,1.0,1,2,3.0,1,1.0,94,3,2,4.0,2,1.0,4325,1,0.0,15,3,3,0,5,2,3,5,2,1,3
56,0.0,2.0,1400,1.0,7,3,1.0,4,1.0,49,1,3,4.0,4,2.0,7260,4,0.0,11,3,1,0,37,3,2,6,4,0,2
23,0.0,2.0,541,2.0,2,1,5.0,3,1.0,62,3,1,8.0,1,0.0,2322,3,0.0,13,3,3,1,3,3,3,0,0,0,0
51,0.0,2.0,432,1.0,9,4,1.0,4,1.0,96,3,1,2.0,4,1.0,2075,3,0.0,23,4,2,2,10,4,3,4,2,0,3
30,0.0,2.0,288,1.0,2,3,1.0,3,1.0,99,2,2,0.0,4,1.0,4152,1,0.0,19,3,1,3,11,3,3,11,10,10,8
46,1.0,2.0,669,2.0,9,2,3.0,3,1.0,64,2,3,7.0,4,2.0,9619,1,0.0,16,3,4,0,9,3,3,9,8,4,7
40,0.0,1.0,530,1.0,1,4,1.0,3,1.0,78,2,4,0.0,2,1.0,13503,1,0.0,22,4,4,1,22,3,2,22,3,11,11
51,0.0,2.0,632,2.0,21,4,2.0,3,1.0,71,3,2,7.0,4,2.0,5441,0,1.0,22,4,4,0,11,2,1,10,7,1,0
30,0.0,2.0,1334,2.0,4,2,3.0,3,0.0,63,2,2,7.0,2,0.0,5209,1,1.0,12,3,2,3,11,4,2,11,8,2,7
46,0.0,1.0,638,1.0,1,3,3.0,3,1.0,40,2,3,0.0,1,1.0,10673,2,1.0,13,3,3,1,21,5,2,10,9,9,5
32,0.0,2.0,1093,2.0,6,4,3.0,2,1.0,87,3,2,7.0,3,2.0,5010,1,0.0,16,3,1,0,12,0,3,11,8,5,7
54,0.0,2.0,1217,1.0,2,4,5.0,1,0.0,60,3,3,5.0,3,1.0,13549,9,0.0,12,3,1,1,16,5,1,4,3,0,3
24,0.0,2.0,1353,2.0,3,2,4.0,1,0.0,33,3,2,7.0,3,1.0,4999,0,0.0,21,4,1,1,4,2,2,3,2,0,2
28,0.0,0.0,120,2.0,4,3,3.0,2,1.0,43,3,2,7.0,3,1.0,4221,1,0.0,15,3,2,0,5,3,4,5,4,0,4
58,0.0,2.0,682,2.0,10,4,3.0,4,1.0,37,3,4,7.0,3,2.0,13872,0,0.0,13,3,3,0,38,1,2,37,10,1,8
44,0.0,0.0,489,1.0,23,3,3.0,2,1.0,67,3,2,2.0,2,1.0,2042,4,0.0,12,3,3,1,17,3,4,3,2,1,2
37,1.0,2.0,807,0.0,6,4,0.0,3,1.0,63,3,1,1.0,1,0.0,2073,4,1.0,22,4,4,0,7,3,3,3,2,0,2
32,0.0,2.0,827,1.0,1,1,1.0,4,1.0,71,3,1,6.0,1,2.0,2956,1,0.0,13,3,4,0,1,2,3,1,0,0,0
20,1.0,1.0,871,1.0,6,3,1.0,4,0.0,66,2,1,2.0,4,2.0,2926,1,1.0,18,3,2,0,1,5,3,1,0,1,0
34,0.0,2.0,665,1.0,6,4,4.0,1,0.0,41,3,2,6.0,3,2.0,4809,1,0.0,14,3,3,0,16,3,3,16,13,2,10
37,0.0,0.0,1040,1.0,2,2,1.0,3,1.0,100,2,2,0.0,4,0.0,5163,5,0.0,14,3,4,1,17,2,4,1,0,0,0
59,0.0,0.0,1420,0.0,2,4,0.0,3,0.0,32,2,5,3.0,4,1.0,18844,9,0.0,21,4,4,1,30,3,3,3,2,2,2
50,0.0,1.0,1115,1.0,1,3,1.0,1,0.0,73,3,5,5.0,2,1.0,18172,3,1.0,19,3,1,0,28,1,2,8,3,0,7
25,1.0,2.0,240,2.0,5,3,2.0,3,1.0,46,2,2,7.0,3,2.0,5744,1,1.0,11,3,4,0,6,1,3,6,4,0,3
25,0.0,2.0,1280,1.0,7,1,3.0,4,1.0,64,2,1,6.0,4,1.0,2889,1,0.0,11,3,3,2,2,2,3,2,2,2,1
22,0.0,2.0,534,1.0,15,3,3.0,2,0.0,59,3,1,2.0,4,2.0,2871,1,0.0,15,3,3,0,1,5,3,0,0,0,0
51,0.0,1.0,1456,1.0,1,4,3.0,1,0.0,30,2,3,0.0,1,2.0,7484,3,0.0,20,4,3,0,23,1,2,13,12,12,8
34,1.0,1.0,658,1.0,7,3,1.0,1,1.0,66,1,2,2.0,3,2.0,6074,1,1.0,24,4,4,0,9,3,3,9,7,0,6
54,0.0,0.0,142,0.0,26,3,0.0,4,0.0,30,4,4,3.0,4,2.0,17328,2,1.0,12,3,3,0,23,3,3,5,3,4,4
24,0.0,2.0,1127,1.0,18,1,1.0,2,1.0,52,3,1,2.0,3,1.0,2774,0,0.0,12,3,3,1,6,2,3,5,3,1,2
34,0.0,2.0,1031,1.0,6,4,1.0,3,0.0,45,2,2,6.0,2,0.0,4505,6,0.0,15,3,3,1,12,3,3,1,0,0,0
37,0.0,2.0,1189,2.0,3,3,1.0,3,1.0,87,3,3,7.0,4,2.0,7428,2,0.0,12,3,1,0,12,3,3,5,3,1,3
34,0.0,2.0,1354,1.0,5,3,3.0,3,0.0,45,2,3,3.0,1,2.0,11631,2,0.0,12,3,4,0,14,6,3,11,10,5,8
36,0.0,1.0,1467,2.0,11,2,5.0,2,0.0,92,3,3,7.0,4,1.0,9738,0,0.0,14,3,3,1,10,6,3,9,7,2,8
36,0.0,2.0,922,1.0,3,2,1.0,1,0.0,39,3,1,2.0,4,0.0,2835,5,0.0,22,4,1,1,7,2,3,1,0,0,0
43,0.0,1.0,394,2.0,26,2,1.0,3,1.0,92,3,4,3.0,4,1.0,16959,1,1.0,12,3,4,2,25,3,4,25,12,4,12
30,0.0,1.0,1312,1.0,23,3,1.0,1,1.0,96,1,1,6.0,3,0.0,2613,1,0.0,25,4,3,3,10,2,2,10,7,0,9
33,0.0,0.0,750,2.0,22,2,2.0,3,1.0,95,3,2,7.0,2,1.0,6146,0,0.0,13,3,1,1,8,2,4,7,7,0,7
56,1.0,2.0,441,1.0,14,4,1.0,2,0.0,72,3,1,6.0,2,1.0,4963,9,1.0,18,3,1,3,7,2,3,5,4,4,3
51,0.0,2.0,684,1.0,6,3,1.0,1,1.0,51,3,5,5.0,3,2.0,19537,7,0.0,13,3,3,0,23,5,3,20,18,15,15
31,1.0,2.0,249,2.0,6,4,1.0,2,1.0,76,1,2,7.0,3,1.0,6172,4,1.0,18,3,2,0,12,3,2,7,7,7,7
26,0.0,2.0,841,1.0,6,3,4.0,3,0.0,46,2,1,6.0,2,1.0,2368,1,0.0,19,3,3,0,5,3,2,5,4,4,3
58,1.0,2.0,147,1.0,23,4,3.0,4,0.0,94,3,3,0.0,4,1.0,10312,1,0.0,12,3,4,1,40,3,2,40,10,15,6
19,1.0,2.0,528,2.0,22,1,2.0,4,1.0,50,3,1,8.0,3,2.0,1675,1,1.0,19,3,4,0,0,2,2,0,0,0,0
22,0.0,2.0,594,1.0,2,1,5.0,3,1.0,100,3,1,2.0,4,1.0,2523,0,0.0,14,3,3,1,3,2,3,2,1,2,1
49,0.0,2.0,470,1.0,20,4,3.0,3,0.0,96,3,2,4.0,1,1.0,6567,1,0.0,14,3,3,0,16,2,2,15,11,5,11
43,0.0,1.0,957,1.0,28,3,3.0,2,0.0,72,4,1,6.0,3,2.0,4739,4,0.0,12,3,4,0,18,2,3,3,2,1,2
50,0.0,1.0,809,2.0,12,3,2.0,3,0.0,77,3,3,7.0,4,2.0,9208,4,0.0,11,3,4,0,16,3,3,2,2,2,1
31,1.0,2.0,542,2.0,20,3,1.0,2,0.0,71,1,2,7.0,3,1.0,4559,3,1.0,11,3,3,1,4,2,3,2,2,2,2
41,0.0,2.0,802,2.0,9,1,1.0,3,1.0,96,3,3,7.0,3,0.0,8189,3,1.0,13,3,3,1,12,2,3,9,7,0,7
26,0.0,2.0,1355,0.0,25,1,1.0,3,0.0,61,3,1,1.0,3,1.0,2942,1,0.0,23,4,4,1,8,3,3,8,7,5,7
36,0.0,2.0,216,1.0,6,2,3.0,2,1.0,84,3,2,4.0,2,0.0,4941,6,0.0,20,4,4,2,7,0,3,3,2,0,1
51,1.0,1.0,1150,1.0,8,4,1.0,1,1.0,53,1,3,4.0,4,2.0,10650,2,0.0,15,3,4,0,18,2,3,4,2,0,3
39,0.0,2.0,1329,2.0,4,4,1.0,4,0.0,47,2,2,7.0,3,1.0,5902,4,0.0,14,3,3,1,17,1,4,15,11,5,9
25,0.0,2.0,959,2.0,28,3,1.0,1,1.0,41,2,2,7.0,3,1.0,8639,2,0.0,18,3,4,0,6,3,3,2,2,2,2
30,0.0,2.0,1240,0.0,9,3,0.0,3,1.0,48,3,2,1.0,4,1.0,6347,0,1.0,19,3,4,0,12,2,1,11,9,4,7
32,1.0,2.0,1033,1.0,9,3,3.0,1,0.0,41,3,1,2.0,1,2.0,4200,7,0.0,22,4,1,0,10,2,4,5,4,0,4
45,0.0,2.0,1316,1.0,29,3,3.0,3,1.0,83,3,1,6.0,4,2.0,3452,5,0.0,13,3,2,0,9,2,2,6,5,0,3
38,0.0,2.0,364,1.0,3,5,5.0,4,0.0,32,3,2,6.0,3,2.0,4317,3,1.0,20,4,2,0,19,2,3,3,2,2,2
30,0.0,2.0,438,1.0,18,3,1.0,1,0.0,75,3,1,6.0,3,2.0,2632,1,0.0,14,3,3,0,5,4,2,5,4,0,4
32,0.0,1.0,689,2.0,9,2,3.0,4,1.0,35,1,2,7.0,4,0.0,4668,0,0.0,17,3,4,3,9,2,4,8,7,0,7
30,0.0,2.0,201,1.0,5,3,5.0,4,0.0,84,3,1,6.0,1,0.0,3204,5,0.0,14,3,4,1,8,3,3,3,2,2,2
30,0.0,2.0,1427,1.0,2,1,3.0,2,1.0,35,2,1,2.0,4,2.0,2720,0,0.0,13,3,4,0,6,3,3,5,3,1,2
41,0.0,1.0,857,1.0,10,3,1.0,4,1.0,91,2,4,3.0,1,0.0,17181,4,0.0,13,3,2,1,21,2,2,7,6,7,7
41,0.0,2.0,933,1.0,9,4,1.0,3,1.0,94,3,1,2.0,1,1.0,2238,2,0.0,21,4,4,1,7,2,3,5,0,1,4
19,0.0,2.0,1181,1.0,3,1,3.0,2,0.0,79,3,1,2.0,2,2.0,1483,1,0.0,14,3,4,0,1,3,3,1,0,0,0
40,0.0,1.0,1395,1.0,26,3,3.0,2,0.0,54,3,2,6.0,2,0.0,5605,1,0.0,11,3,1,1,20,2,3,20,7,2,13
35,0.0,2.0,662,2.0,1,5,2.0,3,1.0,94,3,3,7.0,2,1.0,7295,1,0.0,13,3,1,2,10,3,3,10,8,0,6
53,0.0,2.0,1436,2.0,6,2,2.0,2,1.0,34,3,2,8.0,3,1.0,2306,2,1.0,20,4,4,1,13,3,1,7,7,4,5
45,0.0,2.0,194,1.0,9,3,1.0,2,1.0,60,3,2,2.0,2,0.0,2348,8,0.0,18,3,3,1,20,2,1,17,9,0,15
32,0.0,1.0,967,2.0,8,3,2.0,2,0.0,43,3,3,7.0,4,2.0,8998,1,0.0,14,3,4,0,9,2,3,9,8,3,7
29,0.0,0.0,1496,1.0,1,1,5.0,4,1.0,41,3,2,4.0,3,1.0,4319,1,0.0,13,3,1,1,10,1,3,10,7,0,9
51,0.0,2.0,1169,1.0,7,4,3.0,2,1.0,34,2,2,4.0,3,1.0,6132,2,0.0,17,3,3,0,10,2,3,1,0,0,0
58,0.0,2.0,1145,1.0,9,3,3.0,2,0.0,75,2,1,6.0,2,1.0,3346,4,1.0,20,4,2,1,9,3,2,1,0,0,0
40,0.0,2.0,630,2.0,4,4,2.0,3,1.0,67,2,3,7.0,4,1.0,10855,7,0.0,11,3,1,1,15,2,2,12,11,2,11
34,0.0,1.0,303,2.0,2,4,2.0,3,0.0,75,3,1,8.0,3,1.0,2231,6,0.0,18,3,4,1,6,3,3,4,3,1,2
22,0.0,2.0,1256,1.0,19,1,3.0,3,1.0,80,3,1,6.0,4,1.0,2323,1,0.0,24,4,1,2,2,6,3,2,2,2,2
27,0.0,0.0,691,1.0,9,3,3.0,4,1.0,57,3,1,6.0,2,0.0,2024,6,0.0,18,3,4,1,6,1,1,2,2,2,2
28,0.0,2.0,440,1.0,21,3,3.0,3,1.0,42,3,1,6.0,4,1.0,2713,1,0.0,11,3,3,1,5,2,1,5,2,0,2
57,0.0,2.0,334,1.0,24,2,1.0,3,1.0,83,4,3,0.0,4,0.0,9439,3,1.0,16,3,2,1,12,2,1,5,3,1,4
27,0.0,0.0,1450,1.0,3,3,3.0,3,1.0,79,2,1,6.0,3,0.0,2566,1,1.0,15,3,4,1,1,2,2,1,1,0,1
50,0.0,2.0,1452,1.0,11,3,1.0,3,0.0,53,3,5,3.0,2,2.0,19926,3,0.0,15,3,2,0,21,5,3,5,4,4,4
41,0.0,2.0,465,1.0,14,3,1.0,1,1.0,56,3,1,6.0,3,0.0,2451,4,0.0,12,3,1,1,13,2,3,9,8,1,8
30,0.0,2.0,1339,2.0,5,3,1.0,2,0.0,41,3,3,7.0,4,1.0,9419,2,0.0,12,3,3,1,12,2,3,10,9,7,4
38,0.0,2.0,702,2.0,1,4,1.0,1,0.0,59,2,2,7.0,4,2.0,8686,4,0.0,22,4,3,0,12,2,4,8,3,0,7
32,0.0,2.0,120,1.0,6,5,1.0,3,1.0,43,3,1,6.0,3,2.0,3038,3,0.0,20,4,1,0,8,2,3,5,4,1,4
27,0.0,2.0,1157,1.0,17,3,5.0,3,1.0,51,3,1,6.0,2,1.0,3058,0,1.0,16,3,4,1,6,3,2,5,2,1,1
19,1.0,1.0,602,2.0,1,1,5.0,3,0.0,100,1,1,8.0,1,2.0,2325,0,0.0,21,4,1,0,1,5,4,0,0,0,0
36,0.0,1.0,1480,1.0,3,2,3.0,4,1.0,30,3,1,2.0,2,2.0,2088,4,0.0,12,3,3,0,13,3,2,8,7,7,2
30,0.0,0.0,111,1.0,9,3,3.0,3,1.0,66,3,2,2.0,1,0.0,3072,1,0.0,11,3,3,2,12,4,3,12,9,6,10
